sessions_viewed,time_spent_minutes,moodlet_logins,days_since_last_login,engagement_level,quiz_attempts,rewatched_sessions,strategy_score,leadership_score,sustainability_score,finance_score,operations_score,marketing_score,digital_transformation_score,behaviour_score,completion_status,learning_preference
7,60,23,24,10,5,3,24,19,36,79,0,13,63,66.125,1,Quiz
4,121,16,23,9,7,4,27,93,78,29,90,9,24,57.041666666666664,0,Mixed
2,50,9,11,9,7,7,64,37,67,92,79,11,27,47.333333333333336,0,Quiz
7,402,29,17,9,5,5,44,2,39,44,70,37,75,83.625,1,Video
5,276,23,14,2,2,3,67,27,58,78,43,33,65,55.625,0,Quiz
2,4,26,43,3,2,6,6,55,79,88,86,40,77,30.666666666666668,0,Quiz
0,465,13,15,7,0,7,48,89,91,50,40,9,21,47.625,0,Quiz
2,91,22,26,5,6,1,8,93,15,46,74,16,30,44.541666666666664,0,Case Study
4,169,16,7,2,4,6,35,12,61,52,41,16,22,48.79166666666667,0,Mixed
2,316,17,59,3,3,1,82,76,3,63,32,66,47,36.416666666666664,0,Quiz
0,21,18,45,10,3,1,0,65,44,37,49,61,19,32.375,0,Mixed
4,404,16,24,6,3,7,9,36,89,63,62,94,37,59.08333333333333,0,Video
6,325,13,16,7,5,1,35,48,27,86,99,0,54,66.54166666666667,1,Video
6,0,8,28,9,7,8,72,65,95,88,36,11,67,53.0,0,Quiz
8,132,7,52,1,7,0,45,35,65,6,58,3,78,46.25,0,Video
2,232,1,7,7,4,8,31,53,30,21,80,41,87,45.166666666666664,0,Mixed
6,11,12,14,8,5,0,31,25,2,80,98,12,88,54.95833333333333,0,Case Study
0,345,24,26,3,3,1,5,74,7,81,47,97,0,43.125,0,Quiz
3,45,6,45,4,8,5,47,71,23,40,4,84,6,34.0,0,Video
3,33,8,49,10,7,5,37,39,14,73,47,85,56,41.25,0,Mixed
4,432,21,51,6,0,0,16,42,42,9,95,3,94,52.25,0,Mixed
6,77,21,6,10,1,6,73,21,30,56,2,81,11,62.20833333333333,0,Video
6,217,10,2,7,8,7,26,19,72,6,46,68,4,67.79166666666666,1,Mixed
3,300,13,28,4,7,1,53,7,44,49,61,18,49,51.125,0,Mixed
6,410,3,43,8,2,7,49,28,65,90,98,1,41,56.08333333333333,0,Quiz
2,72,25,52,5,7,8,34,39,7,51,13,11,11,40.0,0,Mixed
5,281,25,23,1,0,5,84,89,70,32,62,80,17,50.583333333333336,0,Video
1,248,28,59,4,3,4,24,29,56,0,60,73,65,37.458333333333336,0,Quiz
8,46,12,57,3,2,8,27,80,79,52,30,97,73,40.66666666666667,0,Video
4,120,1,2,9,5,8,14,83,98,59,94,5,78,52.25,0,Case Study
5,213,22,19,8,6,0,3,54,29,33,16,7,93,65.25,1,Video
3,238,4,45,1,3,2,92,15,73,3,23,50,16,30.291666666666668,0,Video
6,55,10,14,6,6,8,72,45,17,16,22,10,67,54.04166666666667,0,Quiz
8,349,5,24,9,8,1,26,61,68,3,81,62,70,74.54166666666666,1,Mixed
6,106,17,29,7,1,3,25,6,92,42,49,56,61,51.166666666666664,0,Video
0,318,20,13,4,2,3,18,79,38,89,77,11,40,43.5,0,Quiz
0,47,9,6,1,4,1,91,44,59,3,78,72,94,26.458333333333332,0,Case Study
8,60,3,16,2,2,2,16,58,97,0,78,1,33,45.5,0,Quiz
8,336,8,43,5,7,2,42,55,42,70,69,7,69,63.5,0,Quiz
3,25,5,19,5,7,0,40,47,44,93,26,10,44,39.416666666666664,0,Mixed
8,291,1,35,8,7,5,41,26,22,49,14,52,57,64.625,0,Video
2,256,16,8,6,8,7,49,52,68,72,49,99,50,56.916666666666664,0,Case Study
6,7,4,37,8,3,2,83,86,93,60,35,9,33,42.54166666666667,0,Quiz
5,112,24,47,2,4,4,39,87,5,34,7,84,43,43.54166666666667,0,Video
7,354,5,56,3,4,0,38,72,55,7,78,83,14,49.625,0,Video
8,252,25,59,6,7,6,22,34,3,23,2,7,77,66.0,1,Quiz
4,179,11,21,10,6,0,95,50,92,82,61,35,69,57.708333333333336,0,Video
0,206,22,53,3,8,8,51,83,22,35,46,92,49,35.83333333333333,0,Quiz
2,302,20,52,6,7,7,46,36,5,49,76,75,100,48.58333333333333,0,Quiz
7,126,9,52,6,1,6,62,80,31,42,97,13,31,43.875,0,Quiz
5,55,21,1,2,3,6,96,94,17,26,87,53,66,49.91666666666667,0,Case Study
7,213,20,23,7,5,4,68,56,14,31,95,84,2,66.75,1,Quiz
8,13,26,7,2,1,4,42,7,39,77,60,85,85,56.04166666666667,0,Mixed
3,473,24,10,6,6,4,47,78,95,17,31,20,85,70.08333333333334,1,Video
0,27,30,12,1,2,0,33,94,72,27,93,49,73,32.125,0,Case Study
0,470,5,16,3,2,7,39,93,100,28,12,93,50,40.08333333333333,0,Video
3,77,26,7,2,1,0,74,19,73,15,0,38,66,43.083333333333336,0,Case Study
6,215,7,20,7,7,3,60,52,83,98,33,19,75,60.458333333333336,0,Mixed
1,385,1,17,4,5,8,49,11,5,46,61,87,92,42.66666666666667,0,Case Study
2,364,11,29,8,0,8,66,48,62,58,78,86,47,46.666666666666664,0,Case Study
0,153,12,17,6,0,4,61,16,66,30,77,6,16,32.125,0,Case Study
4,13,24,45,10,6,3,57,63,10,3,92,8,6,51.291666666666664,0,Video
0,186,20,46,4,7,2,32,41,42,36,97,0,12,36.0,0,Quiz
7,311,6,30,5,4,2,74,93,16,16,81,25,65,57.833333333333336,0,Video
0,370,9,37,9,4,4,15,28,95,38,70,37,3,44.16666666666667,0,Quiz
0,6,12,31,7,3,0,81,18,3,47,92,37,9,27.75,0,Video
1,2,16,10,10,5,4,93,10,62,45,30,60,87,44.958333333333336,0,Mixed
1,110,25,44,9,5,5,47,97,67,89,63,43,16,43.95833333333333,0,Mixed
5,406,20,24,7,2,6,9,49,80,47,24,85,51,64.54166666666667,0,Case Study
6,237,27,32,1,8,8,81,70,40,38,37,43,5,60.625,0,Mixed
4,362,29,59,8,6,2,37,57,82,3,13,73,82,61.83333333333333,0,Case Study
0,238,25,37,4,0,1,18,33,4,29,7,61,68,34.16666666666667,0,Quiz
0,273,13,40,3,6,2,35,19,31,29,90,5,95,34.875,0,Mixed
2,293,1,7,7,4,8,58,49,85,21,53,16,73,47.708333333333336,0,Quiz
1,226,27,10,3,4,6,62,87,69,74,1,50,8,48.041666666666664,0,Video
4,370,21,21,8,1,8,76,9,34,65,80,37,90,61.41666666666667,0,Quiz
5,14,10,50,6,3,1,45,31,21,11,100,23,76,36.45833333333333,0,Video
6,191,0,23,5,5,4,2,51,64,93,77,50,82,49.70833333333333,0,Quiz
3,472,18,40,4,6,3,73,14,83,35,88,9,20,56.541666666666664,0,Quiz
6,118,20,16,8,4,1,64,100,21,17,55,71,23,61.666666666666664,0,Mixed
7,27,3,11,8,8,8,90,83,10,89,93,20,3,58.75,0,Quiz
0,201,18,56,1,2,8,7,2,76,52,92,69,23,22.375,0,Mixed
5,38,25,45,9,0,5,50,36,2,70,83,84,58,46.95833333333333,0,Mixed
7,440,28,31,5,3,5,80,39,8,0,84,56,98,72.70833333333333,1,Case Study
4,272,20,14,4,8,7,72,71,59,57,60,38,2,61.33333333333333,0,Case Study
3,230,10,15,6,3,5,5,39,75,89,21,87,67,47.958333333333336,0,Video
1,85,7,53,6,1,0,88,55,86,86,34,32,100,22.166666666666668,0,Quiz
5,473,10,21,2,4,3,38,22,13,89,100,58,39,58.083333333333336,0,Video
5,125,3,27,8,2,6,59,10,96,5,15,17,47,45.083333333333336,0,Quiz
0,299,16,19,7,8,1,27,63,17,69,49,55,53,51.208333333333336,0,Case Study
8,24,26,32,1,3,8,96,7,72,43,42,91,34,51.25,0,Case Study
5,144,6,9,5,5,7,53,92,22,71,16,56,94,51.125,0,Quiz
2,12,7,39,6,1,7,36,93,73,23,79,95,55,25.75,0,Quiz
3,211,2,31,4,5,6,8,55,82,85,57,75,88,38.666666666666664,0,Case Study
3,24,21,49,2,2,3,81,59,46,18,1,47,39,29.125,0,Case Study
2,67,1,59,4,8,1,55,9,68,100,3,41,76,25.791666666666668,0,Video
2,393,22,32,1,1,2,58,38,46,17,84,26,67,43.375,0,Case Study
2,66,14,1,7,8,5,84,27,86,94,38,73,45,51.25,0,Quiz
3,232,23,32,2,4,4,1,48,29,100,97,51,77,45.541666666666664,0,Video
6,108,21,32,2,7,7,60,35,24,29,93,41,12,52.5,0,Quiz
3,145,21,40,9,1,5,57,12,27,41,5,31,26,45.666666666666664,0,Mixed
8,110,4,12,5,5,5,59,95,97,32,80,25,5,57.33333333333333,0,Video
0,227,23,29,2,2,0,39,35,24,73,88,24,16,34.20833333333333,0,Quiz
7,110,0,32,9,4,3,35,100,73,100,68,74,35,51.95833333333333,0,Case Study
6,469,25,12,9,7,4,36,25,77,11,68,22,98,85.04166666666666,1,Mixed
1,33,3,51,1,0,2,78,85,57,93,19,97,80,9.75,0,Quiz
7,110,14,25,3,4,8,91,3,93,26,63,56,1,51.70833333333333,0,Video
0,263,19,21,4,2,0,17,94,40,38,15,51,76,38.708333333333336,0,Quiz
8,423,18,38,7,3,5,97,81,24,8,50,86,51,71.375,1,Mixed
8,368,2,1,10,1,5,62,63,77,20,36,92,65,72.33333333333334,1,Video
1,235,19,37,4,8,4,21,37,98,75,72,30,51,44.166666666666664,0,Mixed
6,82,10,38,2,2,4,10,87,47,28,68,63,91,38.16666666666667,0,Quiz
2,41,16,25,7,1,4,57,86,97,32,41,70,42,36.458333333333336,0,Case Study
6,424,29,45,6,8,5,56,21,9,61,56,32,89,73.66666666666666,1,Case Study
8,100,26,57,3,6,7,76,1,98,14,65,84,21,54.91666666666667,0,Quiz
3,5,12,49,6,5,1,3,30,74,1,8,1,54,33.583333333333336,0,Quiz
0,179,10,14,6,0,5,85,10,10,51,99,17,66,32.958333333333336,0,Quiz
1,281,1,33,5,4,0,6,91,84,43,85,46,98,34.583333333333336,0,Video
0,319,8,41,4,2,3,60,45,20,53,63,32,59,30.541666666666664,0,Mixed
4,225,25,54,10,0,2,53,95,85,17,85,100,57,50.875,0,Mixed
4,442,1,43,1,3,8,87,61,44,2,21,97,11,40.916666666666664,0,Mixed
6,439,20,48,10,1,2,67,68,6,6,33,83,87,66.29166666666666,1,Quiz
8,314,8,39,6,1,5,91,63,80,42,54,34,68,57.583333333333336,0,Mixed
8,364,8,10,2,2,0,78,9,63,81,28,50,83,62.166666666666664,0,Quiz
2,453,7,60,3,7,5,0,39,63,37,37,17,38,41.875,0,Video
2,228,16,2,8,7,3,54,23,1,36,96,87,12,59.0,0,Case Study
2,376,0,58,10,6,7,2,98,75,57,17,71,40,44.916666666666664,0,Quiz
3,288,24,5,6,5,8,77,43,41,32,70,29,56,62.375,0,Quiz
7,436,28,8,3,8,3,37,59,81,58,64,43,52,81.54166666666667,1,Case Study
5,149,10,5,7,3,5,0,61,53,94,96,52,11,54.833333333333336,0,Case Study
7,276,7,8,4,0,0,37,86,74,10,0,9,12,55.875,0,Video
0,197,9,38,9,7,3,84,16,15,67,87,86,73,40.45833333333333,0,Mixed
7,69,24,30,5,6,6,28,64,17,81,3,51,96,59.25,0,Quiz
3,111,6,31,3,6,0,4,94,98,67,3,48,56,36.25,0,Mixed
0,3,2,40,2,2,7,73,94,58,97,81,10,39,11.625,0,Quiz
7,349,2,49,2,3,5,91,56,89,92,26,65,79,46.916666666666664,0,Video
3,330,17,11,3,8,4,20,54,15,87,42,57,44,58.375,0,Case Study
5,445,4,7,2,5,8,70,52,5,21,58,89,34,58.66666666666667,0,Video
7,317,11,7,4,4,1,66,55,56,65,31,35,2,64.83333333333333,1,Case Study
3,349,11,49,2,2,4,46,97,46,43,32,32,4,37.666666666666664,0,Mixed
2,94,18,27,10,8,5,83,8,47,5,27,46,89,52.416666666666664,0,Mixed
8,151,29,19,9,4,6,82,21,41,41,54,12,10,74.54166666666666,1,Video
2,310,5,46,2,4,4,34,12,75,24,99,39,70,33.16666666666667,0,Case Study
8,136,1,58,9,3,8,67,88,59,56,59,88,55,48.916666666666664,0,Video
1,246,11,6,6,3,0,68,47,76,84,69,67,9,45.125,0,Case Study
1,386,18,10,1,0,6,0,17,3,54,61,41,33,42.208333333333336,0,Case Study
1,242,4,19,4,6,6,67,75,1,15,79,18,66,38.95833333333333,0,Mixed
5,30,11,15,1,8,3,11,39,89,94,33,81,71,45.125,0,Mixed
2,39,26,3,6,2,8,59,16,58,13,86,100,30,46.625,0,Case Study
8,228,26,5,4,1,4,26,14,26,38,87,93,74,68.5,1,Case Study
3,35,16,57,3,2,3,55,14,26,27,55,18,70,26.583333333333336,0,Case Study
0,407,28,21,3,0,6,22,78,78,95,12,57,65,45.20833333333333,0,Mixed
3,222,16,25,9,5,3,24,62,71,91,55,22,69,55.125,0,Mixed
0,5,9,2,6,6,2,20,38,6,50,17,53,40,35.70833333333333,0,Quiz
4,321,24,40,9,1,8,60,12,62,48,53,79,62,57.625,0,Case Study
3,467,22,59,5,7,7,62,80,45,8,76,64,31,56.33333333333333,0,Quiz
7,219,16,41,2,5,0,51,31,62,57,100,11,19,53.0,0,Case Study
7,74,14,13,8,3,6,87,8,11,44,42,23,56,59.45833333333333,0,Mixed
6,3,11,10,5,4,8,24,39,12,21,38,33,97,49.375,0,Quiz
2,334,29,17,2,7,7,54,19,42,31,60,52,49,57.166666666666664,0,Quiz
0,133,15,53,4,2,7,45,89,16,68,41,7,79,23.291666666666668,0,Video
0,117,23,11,9,2,5,31,90,62,86,80,17,24,44.625,0,Case Study
2,368,18,22,4,3,3,54,84,80,68,78,56,11,49.833333333333336,0,Mixed
5,93,7,11,4,0,7,95,81,35,41,17,4,70,41.25,0,Video
6,434,30,12,2,8,2,4,76,84,52,22,25,38,76.83333333333333,1,Video
5,61,20,24,6,7,8,35,79,7,95,53,29,16,54.91666666666667,0,Case Study
5,440,16,44,2,7,1,48,72,68,58,29,53,44,57.70833333333333,0,Video
5,193,22,50,7,5,1,57,62,89,73,97,12,10,53.91666666666667,0,Case Study
2,334,4,57,3,6,6,38,75,79,38,57,82,69,34.916666666666664,0,Video
5,202,21,18,3,5,3,79,43,35,14,67,28,22,55.791666666666664,0,Case Study
7,391,15,54,5,8,7,96,37,27,70,66,2,90,64.66666666666667,1,Mixed
1,25,5,45,3,2,8,84,82,92,28,70,89,69,17.416666666666668,0,Case Study
4,434,7,35,2,2,6,60,59,46,2,17,57,37,45.83333333333333,0,Case Study
0,172,24,44,10,2,4,8,70,75,82,6,75,1,40.66666666666667,0,Quiz
0,299,17,7,9,2,7,5,98,100,9,39,1,85,50.208333333333336,0,Mixed
4,132,24,28,2,8,3,34,47,29,91,69,74,83,51.0,0,Mixed
2,325,11,54,2,3,1,38,17,22,28,85,27,88,33.54166666666667,0,Mixed
3,409,14,52,8,6,5,21,15,15,78,64,81,78,54.916666666666664,0,Video
2,117,26,54,9,8,8,40,54,13,34,67,76,92,49.125,0,Quiz
0,323,25,31,7,6,0,4,38,73,5,48,100,71,51.208333333333336,0,Mixed
0,274,8,50,3,8,6,41,67,70,11,51,85,36,32.416666666666664,0,Video
4,211,12,43,9,2,8,86,58,51,37,28,75,48,47.541666666666664,0,Video
5,224,25,17,3,3,8,80,88,36,76,20,1,51,56.458333333333336,0,Video
2,19,14,5,5,7,2,75,95,28,92,89,100,32,44.04166666666667,0,Quiz
8,112,9,17,9,5,4,86,61,66,18,77,6,21,64.66666666666667,1,Video
4,139,15,18,3,4,7,79,12,14,66,8,25,4,45.79166666666667,0,Quiz
7,46,6,21,7,3,7,66,80,99,7,46,89,17,50.79166666666667,0,Case Study
0,0,16,36,1,7,3,29,100,46,7,75,87,37,24.25,0,Video
4,89,22,31,4,0,0,56,5,45,83,41,75,36,40.45833333333333,0,Mixed
2,141,25,55,4,8,0,85,82,51,46,50,15,93,41.875,0,Video
0,319,20,40,7,0,3,72,76,18,3,55,22,94,38.791666666666664,0,Case Study
3,37,21,58,8,7,5,28,59,76,50,50,39,63,42.666666666666664,0,Case Study
4,292,25,2,1,3,7,36,89,20,84,69,59,9,56.916666666666664,0,Video
6,381,6,27,5,8,5,86,13,63,66,19,72,78,63.375,0,Case Study
0,138,13,9,7,4,8,12,94,36,44,87,31,41,40.5,0,Quiz
2,355,14,50,4,2,8,31,53,26,7,26,14,47,39.04166666666667,0,Quiz
1,332,20,34,4,8,1,45,3,54,86,37,100,43,49.45833333333333,0,Video
8,258,6,60,4,8,0,22,38,28,15,71,12,81,54.75,0,Quiz
5,160,8,28,6,3,1,44,71,19,76,64,4,86,47.041666666666664,0,Quiz
2,389,18,53,7,3,4,16,24,24,66,53,74,96,47.45833333333333,0,Mixed
7,177,15,14,2,7,3,84,76,69,8,23,73,15,60.0,0,Video
7,9,7,32,5,1,3,65,31,62,59,46,51,53,41.5,0,Case Study
1,260,17,6,4,8,8,100,58,35,77,70,76,34,51.95833333333333,0,Video
5,406,26,11,3,5,7,5,62,1,76,82,40,97,68.54166666666667,1,Quiz
6,137,22,48,7,8,5,17,37,21,70,85,52,27,58.95833333333333,0,Mixed
1,171,28,29,6,7,0,93,91,95,14,62,49,1,49.75,0,Video
1,385,17,20,7,6,1,21,52,15,70,56,14,93,55.66666666666667,0,Video
0,12,30,30,5,0,5,32,93,17,97,54,6,12,30.5,0,Quiz
7,167,29,57,6,2,1,29,66,68,40,59,39,40,55.58333333333333,0,Quiz
0,129,19,60,5,1,4,80,27,53,21,98,27,79,23.625,0,Video
8,83,6,23,7,4,4,31,2,99,23,61,31,58,56.20833333333333,0,Quiz
5,320,2,19,2,4,5,41,97,29,100,29,98,68,48.20833333333333,0,Quiz
6,318,17,36,5,4,5,77,79,44,43,92,14,91,59.0,0,Quiz
6,100,26,3,6,3,5,9,21,18,0,21,99,52,62.91666666666667,0,Quiz
2,328,9,27,6,4,1,35,95,86,9,74,84,44,46.66666666666667,0,Quiz
1,272,6,43,5,2,2,33,37,33,79,83,69,19,31.708333333333332,0,Mixed
8,264,16,19,10,0,5,72,71,12,71,28,64,23,69.25,1,Quiz
7,458,13,59,7,4,7,27,71,42,55,40,3,60,63.208333333333336,0,Case Study
6,398,30,23,10,8,0,10,61,61,88,41,10,90,84.58333333333334,1,Video
8,407,23,49,8,8,0,77,56,92,49,97,25,93,78.20833333333333,1,Mixed
3,37,2,48,7,3,1,38,5,99,11,64,60,57,29.166666666666664,0,Mixed
3,418,11,50,5,2,5,46,77,21,88,30,36,26,44.79166666666667,0,Quiz
0,93,27,31,1,0,8,18,31,51,80,29,22,25,26.125,0,Video
7,94,12,40,5,1,3,14,98,51,59,17,92,6,45.54166666666667,0,Case Study
2,304,1,35,10,7,2,27,9,35,25,16,84,41,49.416666666666664,0,Quiz
6,68,2,57,2,0,7,23,2,72,77,37,90,46,26.333333333333332,0,Video
1,317,4,52,5,7,8,71,58,18,40,13,39,52,36.58333333333333,0,Quiz
1,443,10,33,5,6,4,8,75,37,35,86,76,58,48.333333333333336,0,Quiz
6,235,7,35,2,7,8,46,48,69,22,88,22,37,50.041666666666664,0,Quiz
5,433,25,1,5,5,1,32,58,78,42,78,15,68,74.66666666666667,1,Quiz
2,333,22,14,4,8,2,61,30,56,5,55,93,86,58.625,0,Quiz
8,372,22,33,1,2,6,96,92,19,68,21,60,91,62.25,0,Quiz
5,375,11,35,3,3,6,18,68,8,42,66,67,97,51.25,0,Quiz
5,458,6,5,1,5,5,66,61,31,24,55,79,52,59.208333333333336,0,Case Study
0,136,14,38,5,7,5,73,51,3,17,18,30,14,34.416666666666664,0,Mixed
3,417,23,41,4,4,1,39,88,49,61,56,52,95,54.0,0,Case Study
5,75,16,50,7,2,5,46,40,81,12,43,24,25,42.25,0,Quiz
5,34,3,50,5,5,3,64,30,4,42,97,43,47,34.79166666666667,0,Quiz
4,0,28,57,10,3,2,28,84,19,77,34,11,94,46.0,0,Case Study
0,295,21,53,4,8,1,49,83,86,27,0,89,18,40.54166666666667,0,Case Study
7,319,24,60,2,2,0,97,21,74,17,51,100,8,52.666666666666664,0,Mixed
